City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,Filingue,14.3521,3.3168,79.29,18,5,10.16,NE,2021-11-22 02:28:42
113,Mweka,-4.85,21.5667,65.5,99,93,1.05,CD,2021-11-22 02:28:42
114,Linqiong,30.4159,103.4609,51.62,53,99,4.72,CN,2021-11-22 02:28:43
115,Faanui,-16.4833,-151.75,79.95,67,6,5.61,PF,2021-11-22 02:28:43
116,Torit,4.4133,32.5678,74.52,62,89,2.04,SS,2021-11-22 02:28:44
117,Masterton,-40.9597,175.6575,68.97,44,43,6.64,NZ,2021-11-22 02:24:33
118,Irbit,57.6705,63.071,28.17,89,100,10.83,RU,2021-11-22 02:28:45
119,Katobu,-4.9408,122.5276,86.07,68,100,2.77,ID,2021-11-22 02:28:45
120,Flinders,-34.5833,150.8552,70.81,59,97,10.85,AU,2021-11-22 02:28:46
121,Banda Aceh,5.5577,95.3222,81.91,72,76,3.33,ID,2021-11-22 02:28:46
122,Yerbogachen,61.2767,108.0108,-13.94,98,39,5.55,RU,2021-11-22 02:28:46
123,Lagoa,39.05,-27.9833,63.7,86,96,25.03,PT,2021-11-22 02:28:47
124,Nikolskoye,59.7035,30.7861,27.39,68,57,10.25,RU,2021-11-22 02:28:47
125,Benicarlo,40.4165,0.4271,55.56,63,84,9.22,ES,2021-11-22 02:28:48
126,Langham,52.3668,-106.9679,17.44,93,95,7.29,CA,2021-11-22 02:27:58
127,Anadyr,64.75,177.4833,-7.1,84,0,8.95,RU,2021-11-22 02:28:49
128,Ancud,-41.8697,-73.8203,54.93,94,80,7.63,CL,2021-11-22 02:28:49
129,Yatou,37.15,122.3833,41.05,49,34,24.45,CN,2021-11-22 02:28:50
130,Agadir,30.4202,-9.5982,61.25,63,99,0.92,MA,2021-11-22 02:28:50
131,Provideniya,64.3833,-173.3,5.11,61,0,6.71,RU,2021-11-22 02:28:51
132,Sumbe,-11.2061,13.8437,76.21,88,100,4.25,AO,2021-11-22 02:28:52
133,Peterhead,57.5058,-1.7981,41.11,79,32,17.31,GB,2021-11-22 02:28:52
134,Talas,38.6908,35.5538,27.27,93,8,1.14,TR,2021-11-22 02:28:53
135,Ampanihy,-24.7,44.75,63.54,84,9,10.54,MG,2021-11-22 02:28:53
136,Poum,-20.2333,164.0167,78.46,68,0,5.95,NC,2021-11-22 02:28:54
137,Ponta Do Sol,32.6667,-17.1,70.0,81,16,4.85,PT,2021-11-22 02:29:55
138,Salalah,17.0151,54.0924,71.69,60,0,5.75,OM,2021-11-22 02:29:55
139,Kholmogory,64.2229,41.656,24.91,97,100,3.2,RU,2021-11-22 02:29:56
140,Fortuna,40.5982,-124.1573,48.97,46,33,2.1,US,2021-11-22 02:29:56
141,Morondava,-20.2833,44.2833,78.87,83,8,6.11,MG,2021-11-22 02:29:57
142,Westport,41.1415,-73.3579,53.98,93,90,1.01,US,2021-11-22 02:28:03
143,Havelock,34.8791,-76.9013,61.93,71,100,4.45,US,2021-11-22 02:26:58
144,Wenling,28.3669,121.36,50.92,79,100,19.42,CN,2021-11-22 02:29:58
145,Souillac,-20.5167,57.5167,73.78,88,75,3.44,MU,2021-11-22 02:29:58
